type,name,component,path,has_version_php,has_install_xml,has_access_php,has_services_php,php_files,templates,tests,table_count,tables,capabilities,services
dataformat,html,dataformat_html,public/dataformat/html,True,False,False,False,4,0,0,0,,0,0
dataformat,json,dataformat_json,public/dataformat/json,True,False,False,False,4,0,0,0,,0,0
dataformat,ods,dataformat_ods,public/dataformat/ods,True,False,False,False,5,0,1,0,,0,0
dataformat,pdf,dataformat_pdf,public/dataformat/pdf,True,False,False,False,5,0,1,0,,0,0
editor,textarea,editor_textarea,public/lib/editor/textarea,True,False,False,False,5,0,2,0,,0,0
editor,tiny,editor_tiny,public/lib/editor/tiny,True,False,False,True,112,52,33,1,tiny_autosave,32,3
enrol,category,enrol_category,public/enrol/category,True,False,True,False,14,0,1,0,,2,0
enrol,cohort,enrol_cohort,public/enrol/cohort,True,False,True,False,15,0,5,0,,2,0
enrol,database,enrol_database,public/enrol/database,True,False,True,False,12,0,2,0,,2,0
enrol,fee,enrol_fee,public/enrol/fee,True,False,True,False,10,1,2,0,,4,0
enrol,flatfile,enrol_flatfile,public/enrol/flatfile,True,True,True,False,15,0,2,1,enrol_flatfile,2,0
enrol,guest,enrol_guest,public/enrol/guest,True,False,True,True,15,0,4,0,,1,1
enrol,imsenterprise,enrol_imsenterprise,public/enrol/imsenterprise,True,False,True,False,15,0,2,0,,1,0
enrol,ldap,enrol_ldap,public/enrol/ldap,True,False,True,False,11,0,1,0,,1,0
enrol,lti,enrol_lti,public/enrol/lti,True,True,True,False,102,9,44,15,enrol_lti_tools;enrol_lti_users;enrol_lti_lti2_consumer;enrol_lti_lti2_tool_proxy;enrol_lti_lti2_context;enrol_lti_lti2_nonce;enrol_lti_lti2_resource_link;enrol_lti_lti2_share_key;enrol_lti_lti2_user_result;enrol_lti_tool_consumer_map;enrol_lti_app_registration;enrol_lti_deployment;enrol_lti_resource_link;enrol_lti_context;enrol_lti_user_resource_link,2,0
enrol,manual,enrol_manual,public/enrol/manual,True,False,True,True,25,1,5,0,,5,2
enrol,meta,enrol_meta,public/enrol/meta,True,False,True,True,21,0,5,0,,3,0
enrol,paypal,enrol_paypal,public/enrol/paypal,True,True,True,False,17,1,2,1,enrol_paypal,4,0
enrol,self,enrol_self,public/enrol/self,True,False,True,True,27,0,6,0,,6,2
filter,activitynames,filter_activitynames,public/filter/activitynames,True,False,False,False,8,0,1,0,,0,0
filter,algebra,filter_algebra,public/filter/algebra,True,False,False,False,12,0,1,0,,0,0
filter,codehighlighter,filter_codehighlighter,public/filter/codehighlighter,True,False,False,False,6,0,1,0,,0,0
